"","text","score"
"136",alreadi affect lot citi least dead injur sad s still rise,0
"137",watch first game video dead rise record pls,0
"138",slut wanna fuck enlighten revolutionari i im busi fantasis lenin rise th,0.333333333333333
"139",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"140",dead rise off the record free download,0.5
"141",so i mention guy i work son rise star hollywood he told big name,1
"142",jesus save us rise dead demonstr one him we immort incorrupt immut,0
"143",alreadi affect lot citi least dead injur sad s still rise,0
"144",polic search suspect say fatal shot man outsid apart west charlott monday,0
"145",here chanc listen someth great car,1
"146",so i mention guy i work son rise star hollywood he told big name t,1
"147",i like video frank west vs chuck green dead rise off the record offici hd,0.5
"148",i like video dead rise off the record all stori cutscen,0.5
"149",break a man found dead gunshot wound admir quarter cornelius overnight polic inv,0
"150",break a man found dead gunshot wound admir quarter cornelius overnight polic inv,0
"151",ki gear halo recor dead rise that think right now anoth tweet come fulli wake,0.5
"152",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"153",rise steel dead or aliv,0
"154",alreadi affect lot citi least dead injur sad s still rise,0
"155",i like video dead rise all cutscen game movi p hd,0.5
"156",alreadi affect lot citi least dead injur sad s still rise,0
"157",typhoonjebi alreadi affect lot citi least dead injur sad s still ri,0
"158",dead dog rise,0
"159",near eleph found dead near botswana sanctuari kill by poacher,0
"160",the slow regard silent thing four dead queen red sister unearth red rise,0.5
"161",new ps dead rise special edit japan soni playstat import game,0
"162",corbyn rise membership dead,0
"163",dead rise dead island left dead dishonor nhl hitz,0
"164",love comment rosi tho kuma lmao aaah chaenni rise dead,0.5
"165",akali dal activist along wife shot dead sad blame congress rise lawless state,0
"166",dead rise niiiic,0
"168",ps re n super mario dreamcast shenmu ps gta vice citi gamecub super monkey ball xbox fab,0.666666666666667
"170",ps re n super mario dreamcast shenmu ps gta vice citi gamecub super monkey ball xbox fab,0.666666666666667
"171",opposit dead silent rise petrol diesel price if bjp opposit bl,0.5
"172",yes tori breach duti care they guilti lie decepti,0
"173",rage racer goldeney quak iii na resid evil favourit list call cthulhu na rock ban,0
"174",a man rise dead,0
"175",yes tori breach duti care they guilti lie decepti,0
"176",yes tori breach duti care they guilti lie decepti,0
"177",yes tori breach duti care they guilti lie de,0
"178",be one natur and dead rise rage namast,0
"179",dead rise,0
"180",dead rise trailer ofici,0
"181",dead rise trailer ofici,0
"182",chivalri dead real men extinct the long lost a,0
"183",plus dragon age inquisit pubg red dead redempt dead rise overwatch,0
"184",nobodi saw rias dead,0
"185",gtsupport peopl want broke dead kid rape,0
"186",man speak dead rise kinda wanna replay dr haha need start dr record well ps,0.5
"187",well actual felt good replay dead rise month bit easier ng al,0.75
"188",epic mickey rayman legend rabbid go home banjo kazooi dead rise,0
"189",dead rise the bind of isaac pokemon soul silver the evil within bloodborn,0
"190",dead rise guild war team fortress diablo lod final fantasi tactic,0
"191",dead rise pc day,0
"192",bioshock skyrim dead rise lollipop chainsaw five night at freddi,0
"193",my g a y ass rise from the dead to scream about my g a y ass ship be canon bless you cartoon network thank you,0.5
"194",dead person slowli rise air limb flop loos feel the power,0
"195",super ultra dead rise arcad remix hyper edit ex plus alpha super smash bros final fantasi tactic,0.5
"196",the mother crackhead herself is rise from the dead,0
"197",bioshock kingdom heart metal gear rise red dead redempt apollo justic,0
"198",feel spooki rn halloween hannah rise dead,0
"199",hous dead overkil leftdead the walk dead season dead rise luigi mansion,0
"200",i like video dead rise off the record his name frank frank west theme hq lyric,0.5
"201",no more hero specif first one dead rise fear bulli just caus,0.333333333333333
"202",i ad video playlist dead rise everybodi die,0
"203",unless plan rise dead think,0
"205",check broadcast playstat dead rise live,0
"206",nw dead rise,0
"207",dark soul the legend zelda twilight princess jojo bizarr adventur eye heaven dead rise sta,0.333333333333333
"208",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"209",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"210",took five hour nap i feel like dead person rise grave,0.5
"211",the dead rise,0
"212",play dead rise iiii,0
"214",he assum accept thus endur death and his glorious rise he also will resurrect dead su,0.333333333333333
"215",i like video shadow arena ep dead rise part,0.5
"216",outlast outlast the last of us dead rise left dead,0
"218",i repres dead rise someon pokémon die reveal trailer,0
"219",also i love also hate get hook bc now inner fangirl rise dead,0.333333333333333
"220",breath fire dragon age seri quest for glori seri herou dead rise kingdom heart bbsddd,0
"221",persona metal gear rise reveng dead space hyper light drifter final fantasi xiv,0
"222",bulli fallout new vega dead rise team fortress lisa pain,0
"223",the godfath don edit new vega dead rise saint row gta san andrea,0.5
"224",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"225",metal gear solid mass effect deus ex dead rise world warcraft,0.5
"226",i like video dead rise frank big packag ps vs ps pro graphic comparison,0.5
"227",my mood kat rise dead just fight daili dumbass,0
"228",now play volbeat dead but rise listen now,0
"229",doom overwatch dead rise anim cross new leaf kid icarus upris,0
"230",hotel dusk room donkey kong countri diddi kong quest pokémon puzzl leagu dead rise super smash bros,0.333333333333333
"231",doom overwatch dead rise anim cross new leaf kid icarus upris,0
"232",what happen wellrespect doctor challeng vaccin polici kill patient an unbeliev s,0.5
"234",i like video can a chipmunk surviv in a zombi apocalyps dead rise gameplay funni,0.5
"235",i like video case west isabela off record dead rise off the record pc mod,0.5
"236",dead space dota lost planet dead rise soma,0
"237",i like video dead rise off the record willamett frank mod,0.5
"238",hell even rise make better metal gear game metal gear solid i dead serious,0.5
"239",dead rise smt nocturn digit devil saga outlast banjokazooi,0
"240",i like video dead rise pc mod nick feminin evil twin,0.333333333333333
"242",danganronpa alic mad return oblivion skyrim one halo war dead rise m cheat age emp,0
"243",gta resid evil call duti assassin creed spyro for re toss,0
"245",dead rise off record spiderman kingdom heart asura wrath just caus,0
"246",dead rise off record spiderman kingdom heart asura wrath just caus,0
"247",danganronpa mayb v pokemon heartgoldsoulsilv crash bandicoot warp dead rise record per,0
"248",with last choic dead rise tri say ador zombi game,0
"249",when monday night wrestl entertain wwe stand world women empir wwf knew car,1
"250",skull monkey medievil timesplitt futur perfect kill floor dead rise,0.333333333333333
"251",dead rise otr persona mass effect halo reach assassin creed iv,0
"252",think im addict dead rise,0
"253",he defeat sin his death he left gro,0.333333333333333
"254",me ha gustado un vídeo de dead rise sledg saw in real life craziest weapon ever,0
"255",if plan around dead rise s timer bad dead rise game near strict fi,0
"256",phew woke feel like rise dead straight away knew go good day receiv,0.666666666666667
"257",check broadcast playstat dead rise live,0
"258",the bella bum back that sound diva era rise dead,0
"259",most democrat hate mccain trump came alongnow sudden jesus christwalk water,0.5
"260",half pf dead doubt theyr gonna rise anytim soon,0
"261",rise labor day dead fulli appreci th straight day colleg footbal,0
"262",ps re n super mario dreamcast shenmu ps gta vice citi gamecub super monkey ball xbox,0.666666666666667
"263",rise labor day dead fulli appreci th straight day colleg footbal,0
"265",earn psn trophi bronz dead rise,0
"266",resid evil castlevaniasymphoni night yakuza dead rise undertal,0
"267",super mario sunshin dead cell fallout new vega metal gear rise reveng devil may cri,0.25
"268",ferguson rise dead just seem obvious,0
"269",alan wake dead premonit sonic mania dead rise digimon world,0
"270",like jesus rise dead fb backfacebookdown,0.5
"271",in case miss s interview rocket radio best friend rock togeth stay togeth,0.5
"272",i year end own dead rise dead aliv peter jackson king kong,0
"273",check broadcast playstat dead rise live,0
"275",system shock okami dead rise devil may cri persona,0
"276",check broadcast playstat dead rise live,0
"277",earthbound dead rise killer legend mystic ninja dead premonit,0
"279",in case miss s interview rocket radio best friend rock togeth stay togeth,0.5
"280",rage racer goldeney quak iii na resid evil favourit list call cthulhu na rock,0
"281",rocki memento big troubl in littl china valhalla rise dead ringer,0
"282",dead rise,0
"284",i think rise dead obama era graveyardvot,0
"285",he will rise dead three day,0
"287",becki sent video rise rise now dead insid,0
"289",bioshock arkham asylum silent hill dead rise first one psychonaut,0.5
"290",the unit nation mural normal paint mean it depict phoenix mountain dead bodi ri,0
"291",onc doubl standard no muslim threaten say jesus christ w,0
"292",im live twitch play dead rise watch,0
"294",dead rise resid evil halo star war the forc unleash the walk dead telltal,0
"295",darksid devil may cri tomb raider resid evil dead rise,0
"296",i like video leon kennedi vs frank west resid evil vs dead rise death battl,0.25
"297",dead rise episod two bitch gonna die,0
"298",whi dead rise includ game pass,0
"300",regina costum guy essenti dead rise experien,0
"301",bibi favorit psychopath dead rise game,0
"302",bibi favorit psychopath dead rise game sexi,0
"303",what dead rise need win back,0.5
"304",bring back coop onli take place mall recip that pretti much build upon dead rise,0
"305",ps wild n mischief maker dreamcast toy command ps xiii gamecub super mario sunshin xbox mechassault ps,0.333333333333333
"306",what dead rise need win back,0.5
"307",green tentacl silent creep green tentacl rise deep but great old one start stir,0.666666666666667
"308",i monster rancher game game boy colour think platform puzzl game,0
"309",that dem pull lazarus rise dead vote especi urban area,0
"310",i like video what in the hell dead rise oo,0.333333333333333
"311",doom burnout persona sunset overdr dead rise,0
"312",dead rise part walkthrough gameplay ps,0
"313",he hate cathol passion except jesus becaus jesus dead,0.333333333333333
"314",dear jesus i sorri bad thing i done i want make peac you pleas forgiv thank,0.333333333333333
"315",if notic penang lot burial ground high demand penang burial plot sinc slope overlookin,0
"316",if notic penang lot burial ground high demand penang burial plot sinc slope,0
"317",toheart rise dead biggest plot twist m still shaken,0
"318",user minjoonist is rise from the dead omfjsj omfg,0
"319",live right now have look second time dead rise with pan day zom op time the clock,0.333333333333333
"320",need ab s riz screentim new love interest nas nori mental health storylin,1
"321",live right now have look second time dead rise with pan day zom op time the clock,0.333333333333333
"322",today easter sunday let also rememb addit jesus christ rise dead one point,0
"323",earn psn trophi silver dead rise,0
"324",i repres dead rise littl green monster bustamov die,0
"326",do not miss it dead rise microsoft xbox one brand new region free atak deal,0.333333333333333
"327",do not miss it dead rise microsoft xbox one brand new region free atak deal,0.333333333333333
"328",promoção jogo dead rise remast ps r,0
"329",peep fog around halloween town that dead rise,0
"330",the dead south hous the rise sun the anim under the cover,0
"331",i like video dead rise vs dead rise,0.333333333333333
"332",the dead die ron shaw horror like feel hair rise,0.333333333333333
"333",live right now have look second time dead rise with pan day zom op time,0.333333333333333
"334",dead rise crew wildland mvc trash,0
"335",i like video dead rise cap zueira shop,0.5
"336",oh rise dead three day later simpl funer serious,0
"337",this rise hall end dead end,0
"338",discov yearold grandmoth read daili horoscop dead grandpa also interest tha,0
"339",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"340",realli wish i play dead rise first time amaz game,0
"341",i like video dead rise super ultra arcad remix hyper edit ex e awesom,0.666666666666667
"342",i like video e crowd reaction super ultra dead rise arcad remix hyper edit ex,0.666666666666667
"344",i like video all charact unlock super ultra dead rise arcad remix hyper edit ex,0.666666666666667
"345",i like video super ultra dead rise arcad remix hyper edit ex plus alpha e trailer,0.666666666666667
"346",ami winehous rise dead see aw current pop girl,0
"347",luke read origin post sinc dead rise nintendo,0
"348",ps wild n mischief maker dreamcast toy command ps xiii gamecub super mario sunshin xbox mechassaul,0.333333333333333
"349",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"350",offend bus catch ya dick read timelin i told,0
"351",dont worri this day funer isnt yet hell rise dead day mccain tut go,0
"352",gear war dead rise halo god of war fallout batman saint row bioshock red dead,0.25
"353",dont realli care point as long dlc qualiti dead rise dlc batman arkha,0
"354",and i wish dead rise good rush piec wank,0.5
"355",hell way thing go i expect msm report rise f,0
"357",america favorit pastim complain peopl make job the sens brotherhood com,0
"358",dead rise episod two bitch gonna die,0
"359",hell way thing go i expect msm report rise dead tomorr,0
"360",i good laugh plus got talk love dead rise off the record yum,0.666666666666667
"361",anoth thing consid scenario like good chanc certain destin,1
"362",toheart rise dead biggest plot twist m still shaken,0
"363",toheart rise dead biggest plot twist m still shaken,0
"364",this slappi dead rise,0
"365",dear jesus i sorri bad thing i done i want make peac you pleas forgiv thank,0.333333333333333
"366",you two bitch gonna die dead rise episod live,0
"367",user minjoonist is rise from the dead omfjsj omfg,0
"368",dead rise episod two bitch gonna die live,0
"369",i like video dead rise cap,0.5
"370",i like video dead rise cap,0.5
"371",dont worri this day funer isnt yet hell rise dead day mccain tut go,0
"372",jesuss funer involv earthquak solar eclips dead saint rise grave deceas come bac,0.5
"373",the new testament writer speak christ achiev rise dead first event kind,0
"374",dont worri this day funer isnt yet hell rise dead day mccain tut go,0
"375",how lib elit show respect deadaretha franklin funer bishop apolog ariana grand gr,1
"376",dead rise holi grail war edit,0
"377",jesuss funer involv earthquak solar eclips dead saint rise grave deceas c,0.5
"378",so to celebr follow twitch im give away copi dead rise,0
"379",i cant believ this is how it end dead rise final,0
"380",the unit nation mural normal paint mean it depict phoenix mountain dead bodi ri,0
"381",im mood play dead rise,0
"382",go shop spree dead rise,0
"383",best moment codi win nwa titl joey ryan rise dead jay lethal,0.5
"384",ami winehous rise dead see aw current pop girl,0
"385",toheart rise dead biggest plot twist m still shaken,0
"387",capcom doesnt suck anymor dead rise can good,0.333333333333333
"388",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"389",i good laugh plus got talk love dead rise off the record yum,0.666666666666667
"390",i good laugh plus got talk love dead rise off the record yum,0.666666666666667
"392",wake sister come get s time wake sister slowli rise dead i will murder y,0
"396",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"397",it now crystal clear bob mueller make whole thing for sake justic mueller must fire hel,1
"398",here chanc listen someth great car,1
"399",dead rise oper broken eagl dlc trailer lanzamiento,0
"400",to date year peopl discov dead greekturkish border along river due rise,0
"401",pleas rt dead rise oper broken eagl the review,0
"402",to date year peopl discov dead greekturkish border along river due rise,0
"403",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"404",everi singl human enemi i wish dead i wish fuck dead,0
"405",to date year peopl discov dead greekturkish border along river due rise,0
"406",just doubl check padlock chain we want rise dead,0
"407",to date year peopl discov dead greekturkish border along river due ris,0
"408",updat a woman face charg two peopl die accid involv three car intersect,0
"409",dead rise episod,0
"410",earn psn trophi silver dead rise,0
"411",is inflat realli dead we now m money veloc break multidecad resist line economi full,0
"412",phew woke feel like rise dead straight away knew go good day,0.666666666666667
"413",dead rise game review deadris,0
"414",i mean right jesus went big finish funer that whole rise dead product,0.5
"415",dead rise playthrough end episod whi im sad now,0
"416",this second time dead rise crash,0
"417",im sure one ill just address not dead one im put togeth mon,0
"418",munscian rise dead,0
"419",dryaxx dead rise today,0
"420",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"421",mathew record dead rise jesus die go citi ball friend famili a huge event,0
"422",emo phase come back life expect funer play g chord piano rise dead sing,0
"423",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"424",all thing consid old fool forgot part jesus rise dead,0
"425",i super depress last day i realli take time explain dead rise made,0.333333333333333
"426",resid evil too close almost jill sandwich dead rise took next level,0
"427",li hong yi hu yi tian xing zhao lin one frame add yang yang on it and im dead we love rise actor of the year,0.5
"428",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"429",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"430",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"431",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"432",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"433",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"434",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"435",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"436",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"437",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"438",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"439",jealous dead bagel rise crimnvm,0
"440",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"441",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"442",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"443",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"444",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"445",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"446",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"447",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"448",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"449",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"450",temperatur dead rise adam santo fiction selfconsci novelist,0
"451",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"452",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"453",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"454",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"455",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"456",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"457",mathew record dead rise jesus die go citi ball friend famili a,0
"458",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"459",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"460",the unit nation mural normal paint mean it depict phoenix mountain dead bodi ri,0
"461",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"462",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"463",review dead rise deadris,0
"464",dead rise review deadris,0
"465",delight pop interest thucydid social journal discuss realpolitik strong can weak,0.666666666666667
"466",dead rise review deadris,0
"467",drunkwario dead rise command input,0
"468",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"469",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"470",year bilaspur dust rise temperatur dead arpa river year back rea,0
"471",for reason ive dead rise franchis late the gameplay look pretti fun like prot,0.666666666666667
"472",i won invas main street achiev dead rise trueachiev pts,0.5
"473",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"474",ok make alot sens i rememb annoy dead rise time limit mission availa,0
"475",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"476",interest rate rise hous price slow is financ industri punish rc everyth fine b y,0.333333333333333
"477",chivalri dead real men extinct the long lost alpha rise men guid moral strengt,0
"478",interest rate rise hous price slow is financ industri punish rc everyth w,0
"479",jeg likt en video dead rise all survivor guid step step recommend play,0.666666666666667
"481",attack abduct unabl attend funer parent left dead pool blood they stand tall salut t,0
"482",i like video wasd dead rise coop,0.5
"483",i like video wasd dead rise coop,0.5
"484",i like video wasd dead rise coop,0.5
"485",i like video wasd dead rise coop,0.5
"486",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"487",here chanc listen someth great car,1
"488",seem mccain problem rise dead,0
"489",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"490",rise back dead reviv and back kick ass,0
"491",i like video wasd dead rise coop,0.5
"492",dead rise night i think,0
"493",ami winehous rise dead see aw current pop girl,0
"494",seem mccain problem rise dead,0
"495",ami winehous rise dead see aw current pop girl,0
"496",how know co rise due fossil fuel burn fossil fuel dead plant plant prefer consum light,0.333333333333333
"497",i like video wasd dead rise coop,0.5
"498",islam idol worship imit graven imag pattern,1
"499",like lazarus rise dead brought usual stupor heal power indign rage,0.4
"500",home can indic mani thing rise damp dead anim floorboard toxic paint new carpet h,0
